Merchant Name,Expense Category
PIZZA PIZZA # 104,Meals
GREAT CLIPS,Agent Misc
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
TIM HORTONS #0052,Meals
TIM HORTONS #2118,Meals
I HEART BOBA,Meals
FLAME HOUSE GRILL & BA,Meals
TIM HORTONS,Meals
TIM HORTONS #6378,Meals
I HEART BOBA,Meals
TIM HORTONS #1391,Meals
EAST SIDE MARIOS WINST,Meals
WENDYS,Meals
TIM HORTONS #2118,Meals
I HEART BOBA,Meals
TIM HORTONS #2118,Meals
TIM HORTONS #314,Meals
TIM HORTONS #7264,Meals
MCDONALD'S #21454,Meals
I HEART BOBA,Meals
TIM HORTONS #2118,Meals
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
I HEART BOBA,Meals
Subway 57667,Meals
CHARMINAR INDIAN CUISI,Meals
TIM HORTONS #6396,Meals
DENTISTRY @ PRESERVE,Medical
GREAT CLIPS #9280,Agent Misc
I HEART BOBA,Meals
TIM HORTONS #1666,Meals
TIM HORTONS #6475,Meals
TIM HORTONS #1942,Meals
MCDONALD'S #22857 Q04,Meals
Subway 35322,Meals
TIM HORTONS #0856,Meals
BK #18025,Meals
TIM HORTONS #0593,Meals
TIM HORTONS #3695,Meals
I HEART BOBA,Meals
INTUIT *TURBOTAX,Software
SKYLON RESTAURANT,Meals
PAYMENT - THANK YOU / PAI,Payment
I HEART BOBA,Meals
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
RED CHILLI CHINESE CUI,Meals
PAYPAL *HOMEDEPOTCA,Property Mgmt
I HEART BOBA,Meals
IKEA BURLINGTON,Furniture
BIG TOP MIRROR MAZE,Entertainment
RAINFOREST CAFE,Meals
TREATS,Meals
WAFFLE CONES,Meals
BK #12215,Meals
STARBUCKS 04278,Meals
IMPOTEXPERT/UFILE,Software
ROGERS ******8709,Internet
TIM HORTONS #3599,Meals
I HEART BOBA,Meals
Tesla Motors,Vehicle Misc
STARBUCKS 04816,Meals
SQ *BUBBLE BE BE PET G,Meals
PAYMENT - THANK YOU / PAI,Payment
I HEART BOBA,Meals
STAPLES.CA,Supplies
TIM HORTONS #1391,Meals
TIM HORTONS #2506,Meals
SHOPPERS DRUG MART #08,Supplies
TASKER ON TASKRABBIT,Property Mgmt
I HEART BOBA,Meals
CHARMINAR,Meals
RONA MISSISSAUGA 5512,Property Mgmt
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
BOMBAY PALACE,Entertainment
YAARON KA ADDA,Meals
TIM HORTONS #1253,Meals
I HEART BOBA,Meals
STARBUCKS 04872,Meals
ROGERS ******8709,Internet
TIM HORTONS #2276,Meals
TIM HORTONS #1647,Meals
DOLLARAMA #1005,Supplies
HIGHWAY 403 DUNDAS ANI,Pet Supplies
WAL-MART # 3064,Supplies
I HEART BOBA,Meals
MURPHY'S ICE CREAM PAR,Meals
EL MARIACHI TACOS,Meals
CINEPLEX ENTERTAINMENT,Entertainment
HARVEYS #2683,Meals
EAST SIDE MARIOS WINST,Meals
HIGHWAY 403 DUNDAS ANI,Pet Supplies
DOLLARAMA #1005,Supplies
I HEART BOBA,Meals
PAYMENT - THANK YOU / PAI,Payment
TIM HORTONS #1647,Meals
PETSMART INC. 2028,Pet Supplies
I HEART BOBA,Meals
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
TIM HORTONS #1647,Meals
TIM HORTONS #1647,Meals
SQ *INHOUSEAV,Entertainment
PETSMART INC. 2002,Pet Supplies
LSTAR,TREB/OREA
TIM HORTONS #0381,Meals
CANADA'S WONDERLAND-RE,Entertainment
CANADA'S WONDERLAND-RE,Entertainment
CANADA'S WONDERLAND-RE,Entertainment
ROGERS ******8709,Internet
MELT N DIP,Meals
JIFFY LUBE - 2876,Vehicle Maint
BOOSTER JUICE # 413,Meals
TIM HORTONS #6010,Meals
TIM HORTONS #0532,Entertainment
IQ FOOD CO. - FCP,Meals
TIM HORTONS #6010,Meals
WINNERSHOMESENSE 36703,Supplies
TIM HORTONS #104130,Meals
PETSMART INC. 2002,Pet Supplies
TIM HORTONS #1647,Meals
MECP-BRONTECRK PPARK,Entertainment
CHAPTERS 782,Supplies
GREAT CLIPS #9280,Agent Misc
DOLLAR LAND,Supplies
I HEART BOBA,Meals
PAYMENT - THANK YOU / PAI,Payment
PAYMENT - THANK YOU / PAI,Payment
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
SECURITY NATIONAL INSU,Insurance
DOLLARAMA #1005,Supplies
DEMETRES 6,Meals
TIM HORTONS #2963,Meals
PAYPAL *ROBLOX CORP,Subscription
TIM HORTONS #2118,Meals
MILAN ICE CREAM & PAAN,Meals
LCBO/RAO #445,Meals
WINNERSHOMESENSE 36703,Supplies
